B9J08_000005	PATHWAY: Anchor biosynthesis; OBSOLETE biosynthesis.
B9J08_000006	PATHWAY: Energy metabolism; nitrogen metabolism.
B9J08_000014	PATHWAY: Organosulfur degradation.
B9J08_000019	PATHWAY: Nitrogen metabolism.
B9J08_000021	PATHWAY: Nitrogen metabolism.
B9J08_000022	PATHWAY: Amine and polyamine biosynthesis; OBSOLETE biosynthesis.
B9J08_000040	PATHWAY: Nitrogen metabolism.
B9J08_000043	PATHWAY: Carbohydrate acid metabolism; OBSOLETE biosynthesis.
B9J08_000052	PATHWAY: Cofactor biosynthesis; OBSOLETE biosynthesis.
B9J08_000070	PATHWAY: Photosynthesis; C4 acid pathway.
B9J08_000086	PATHWAY: Carbohydrate metabolism; erythritol degradation.
B9J08_000110	PATHWAY: Amino-acid biosynthesis; ergothioneine biosynthesis.
B9J08_000116	PATHWAY: Glycan metabolism; OBSOLETE biosynthesis.
B9J08_000117	PATHWAY: Cofactor biosynthesis; OBSOLETE biosynthesis.
B9J08_000119	PATHWAY: Protein modification; cytochrome c assembly.
B9J08_000124	PATHWAY: Amino-acid biosynthesis; OBSOLETE biosynthesis.
B9J08_000158	PATHWAY: Protein modification; protein glycosylation.
B9J08_000197	PATHWAY: Protein modification; protein glycosylation.
B9J08_000211	PATHWAY: Cofactor biosynthesis; iron-sulfur cluster biosynthesis.
B9J08_000221	PATHWAY: Protein modification; protein glycosylation.
B9J08_000224	PATHWAY: Amino-acid biosynthesis.
B9J08_000249	PATHWAY: Protein modification; protein ubiquitination.
B9J08_000259	PATHWAY: Cofactor biosynthesis; OBSOLETE biosynthesis.
B9J08_000266	PATHWAY: Carbohydrate metabolism.
B9J08_000292	PATHWAY: Cell wall biogenesis; OBSOLETE biosynthesis.
B9J08_000295	PATHWAY: Energy metabolism; photosynthesis.
B9J08_000308	PATHWAY: Carbohydrate metabolism; OBSOLETE biosynthesis.
B9J08_000336	PATHWAY: Protein modification; protein glycosylation.
B9J08_000357	PATHWAY: Spore coat biogenesis; spore coat polysaccharide biosynthesis.
B9J08_000361	PATHWAY: Mycotoxin biosynthesis; patulin biosynthesis.
B9J08_000369	PATHWAY: Protein modification; protein glycosylation.
B9J08_000375	PATHWAY: Protein modification; protein glycosylation.
B9J08_000380	PATHWAY: Amine and polyamine biosynthesis; OBSOLETE biosynthesis.
B9J08_000403	PATHWAY: Protein modification; protein glycosylation.
B9J08_000429	PATHWAY: Energy metabolism; oxidative phosphorylation.
B9J08_000438	PATHWAY: Glycan metabolism; OBSOLETE biosynthesis.
B9J08_000439	PATHWAY: Protein modification; protein glycosylation.
B9J08_000440	PATHWAY: Pigment biosynthesis.
B9J08_000441	PATHWAY: Signal transduction; phosphatidylinositol signaling pathway.
B9J08_000448	PATHWAY: Amino-acid biosynthesis.
B9J08_000456	PATHWAY: Amino-acid biosynthesis.
B9J08_000472	PATHWAY: Secondary metabolite biosynthesis; flavonoid biosynthesis
B9J08_000481	PATHWAY: Cofactor biosynthesis; OBSOLETE biosynthesis.
B9J08_000502	PATHWAY: Secondary metabolite biosynthesis.
B9J08_000505	PATHWAY: Amino-acid biosynthesis.
B9J08_000521	PATHWAY: Amino-acid biosynthesis; OBSOLETE biosynthesis.
B9J08_000540	PATHWAY: Genetic information processing; DNA replication.
B9J08_000562	PATHWAY: Amino-acid biosynthesis.
B9J08_000571	PATHWAY: Protein modification; protein glycosylation.
B9J08_000586	PATHWAY: Protein modification; protein glycosylation.
B9J08_000595	PATHWAY: Carbohydrate metabolism; OBSOLETE biosynthesis.
B9J08_000597	PATHWAY: Amino-acid biosynthesis; OBSOLETE biosynthesis.
B9J08_000600	PATHWAY: Pigment biosynthesis.
B9J08_000608	PATHWAY: Cofactor biosynthesis; OBSOLETE biosynthesis.
