B9J08_000005	SUBUNIT: Homodimer.
B9J08_000006	SUBUNIT: Homodimer.
B9J08_000014	SUBUNIT: Homotrimer.
B9J08_000019	SUBUNIT: Homotrimer.
B9J08_000021	SUBUNIT: Homotrimer.
B9J08_000022	SUBUNIT: Homodimer.
B9J08_000040	SUBUNIT: Homotrimer.
B9J08_000043	SUBUNIT: Homodimer.
B9J08_000052	SUBUNIT: Interacts with OBSOLETE.
B9J08_000070	SUBUNIT: Homodimer.
B9J08_000086	SUBUNIT: Homotrimer.
B9J08_000110	SUBUNIT: Homodimer.
B9J08_000116	SUBUNIT: Homodimer.
B9J08_000117	SUBUNIT: Homodimer.
B9J08_000119	SUBUNIT: Interacts with CIB1; the interaction is direct.
B9J08_000124	SUBUNIT: Homodimer.
B9J08_000158	SUBUNIT: Interacts with OBSOLETE.
B9J08_000197	SUBUNIT: Interacts with YIF1, YIP3, YIP4 and YIP5.
B9J08_000211	SUBUNIT: Homodimer.
B9J08_000221	SUBUNIT: OBSOLETE is composed of three subunits: class I, beta and gamma.
B9J08_000224	SUBUNIT: Homodimer.
B9J08_000249	SUBUNIT: Interacts with ABI1, ABI2, ABI3 and ABI4.
B9J08_000259	SUBUNIT: Interacts with OLIG2.
B9J08_000266	SUBUNIT: Homodimer.
B9J08_000292	SUBUNIT: Homotrimer.
B9J08_000295	SUBUNIT: Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit enzyme composed of 11 subunits. The complex is composed of 3 respiratory subunits cytochrome b, cytochrome c1 and Rieske protein UQCRFS1, 2 core protein subunits UQCRC1/QCR1 and UQCRC2/QCR2, and 6 low-molecular weight protein subunits UQCRH/QCR6, UQCRB/QCR7, UQCRQ/QCR8, UQCR10/QCR9, UQCR11/QCR10 and subunit 9, the cleavage product of Rieske protein UQCRFS1 The complex exists as an obligatory dimer and forms supercomplexes in the inner mitochondrial membrane with NADH-ubiquinone oxidoreductase and cytochrome c oxidase, resulting in different assemblies IIIIV and megacomplex MCIIIIIV) Interacts with BRAWNIN
B9J08_000308	SUBUNIT: Interacts with KIF5B.
B9J08_000336	SUBUNIT: Interacts with OBSOLETE.
B9J08_000357	SUBUNIT: Homodimer.
B9J08_000361	SUBUNIT: Component of the clathrin-like complex, composed of OBL1, OBL2, SLAC1 and TCP11. Interacts with OBL1 and SLAC2.
B9J08_000369	SUBUNIT: Interacts with OBSOLETE.
B9J08_000375	SUBUNIT: Homotrimer.
B9J08_000380	SUBUNIT: Homodimer.
B9J08_000403	SUBUNIT: Interacts with B'THETA and B'THETA.
B9J08_000429	SUBUNIT: OBSOLETE is composed of at least four subunits: alpha, beta, delta, and gamma.
B9J08_000438	SUBUNIT: Interacts with RAR3.
B9J08_000439	SUBUNIT: Interacts with BTRC; the interaction is direct.
B9J08_000440	SUBUNIT: Homodimer.
B9J08_000441	SUBUNIT: Interacts with the ligand binding domain of the thyroid receptor in the presence of thyroid hormone. May interact with thyroid hormone in the presence of thyroid hormone.
B9J08_000448	SUBUNIT: Homodimer.
B9J08_000456	SUBUNIT: Homodimer.
B9J08_000472	SUBUNIT: Homodimer.
B9J08_000481	SUBUNIT: Interacts with OBSOLETE.
B9J08_000502	SUBUNIT: Probably forms part of the preprotein translocase complex of the outer mitochondrial membrane which consists of at least 8 different proteins
B9J08_000505	SUBUNIT: Homodimer.
B9J08_000521	SUBUNIT: Homodimer.
B9J08_000540	SUBUNIT: Interacts with the P-TEFb complex composed at least of Tat, P-TEFb, TAR RNA, RNA Pol II. Recruited to chromatin in mitotic chromosomes during mitosis through interaction with TARBP2; facilitates TARBP2-mediated TARBP2-mediated TARBP2-mediated TARBP2-mediated TARBP2-mediated TARBP2-mediated TARBP2-mediated TARBP2-mediated TARBP2 transport to the nucleus via interaction with TARBP2
B9J08_000562	SUBUNIT: Interacts with the plastidial peroxiredoxin BAS1.
B9J08_000571	SUBUNIT: Heterodimer of an alpha and a beta chain. The beta chain may form a toroidal shape.
B9J08_000586	SUBUNIT: Interacts with OBSOLETE Tetramer of 2 light chains and 2 heavy chains
B9J08_000595	SUBUNIT: Interacts with YIF1.
B9J08_000597	SUBUNIT: Interacts with OBSOLETE.
B9J08_000600	SUBUNIT: Homotrimer.
B9J08_000608	SUBUNIT: Interacts with OBSOLETE.
B9J08_000626	SUBUNIT: Interacts with YIF1, YIP3 and YIP4.
B9J08_000642	SUBUNIT: Homodimer.
B9J08_000652	SUBUNIT: Interacts with OBSOLETE.
B9J08_000653	SUBUNIT: Homodimer.
B9J08_000663	SUBUNIT: Homodimer.
B9J08_000664	SUBUNIT: Interacts with OBSOLETE.
B9J08_000672	SUBUNIT: Homotrimer.
