B9J08_000005	FUNCTION: Cell surface proteoglycan that bears both heparan sulfate and chondroitin sulfate and that links the cytoskeleton to the interstitial matrix.
B9J08_000006	FUNCTION: May play a protective role in mucosal tissues by preventing exaggerated allergic responses.
B9J08_000014	FUNCTION: The heterodimer acts as a nucleotide dehydrogenase.
B9J08_000019	FUNCTION: This protein is an atypical, non-specific cation-binding protein that functions as a cytosolic chaperone for a wide range of cytosolic compounds, including steroids, fatty acids, and xenobiotics.
B9J08_000021	FUNCTION: Microtubule-associated protein that catalyzes the transfer of electrons from cytosolic NADPH across the plasma membrane to molecular oxygen on the surface.
B9J08_000022	FUNCTION: Enzyme that can both act as an acyl-CoA ligase and an acyltransferase.
B9J08_000040	FUNCTION: This protein is an atypical, multifunctional protein that functions as a nucleotide-sugar transferase.
B9J08_000043	FUNCTION: Dephosphorylates a range of phosphatidylinositols including phosphatidylinositol 3-phosphate, phosphatidylinositol 4-phosphate and phosphatidylinositol 4,5-bisphosphate.
B9J08_000052	FUNCTION: OBSOLETE is a member of the mitochondrial and plastidial OBSOLETE protein complexes.
B9J08_000070	FUNCTION: Probable cyclic compound-binding protein that acts as a cell cycle regulator.
B9J08_000086	FUNCTION: ADP-ribosyltransferase that condenses anthranilic acid and O-acetyl-L-alanine to produce 5'-deoxyadenosine.
B9J08_000110	FUNCTION: Probable ion channel.
B9J08_000116	FUNCTION: Probably plays a role in the biosynthesis of a cell wall polysaccharide.
B9J08_000117	FUNCTION: May play a role in the biosynthesis of a cell wall polysaccharide.
B9J08_000119	FUNCTION: Required for proper morphology and function of the mitochondrial cytochrome b-c1 complex.
B9J08_000124	FUNCTION: This protein binds C-cyclic phosphodiester.
B9J08_000158	FUNCTION: May play a role in the regulation of cell death.
B9J08_000197	FUNCTION: Involved in chromosome segregation.
B9J08_000211	FUNCTION: Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. This protein is an intermediate in the biosynthesis of new nicotinamide ribonucleotides.
B9J08_000221	FUNCTION: The cuticle functions both as an exoskeleton and as a barrier to protect the worm from its environment Acts as a receptor for class I MHC antigens
B9J08_000224	FUNCTION: Probably has a role in cell division.
